0.762 ± 0.019,78.180 ± 0.630
0.762 ± 0.016,77.719 ± 1.161
0.740 ± 0.031,75.702 ± 2.882
0.761 ± 0.016,77.895 ± 0.848
0.762 ± 0.017,78.026 ± 1.055
0.755 ± 0.014,77.325 ± 1.384
0.763 ± 0.015,78.399 ± 0.637
0.752 ± 0.034,77.171 ± 2.584
0.731 ± 0.038,75.000 ± 3.254
0.763 ± 0.018,78.092 ± 0.912
0.759 ± 0.019,77.851 ± 2.041
0.754 ± 0.018,76.974 ± 1.387
0.762 ± 0.015,78.026 ± 0.719
0.762 ± 0.018,77.961 ± 0.977
0.753 ± 0.017,77.018 ± 1.139
0.762 ± 0.017,78.092 ± 0.846
0.761 ± 0.017,78.136 ± 1.015
0.754 ± 0.017,77.259 ± 0.991
0.762 ± 0.019,78.026 ± 0.570
0.761 ± 0.017,77.939 ± 1.001
0.755 ± 0.016,77.215 ± 0.805
0.762 ± 0.016,78.092 ± 0.639
0.761 ± 0.015,77.895 ± 1.216
0.754 ± 0.016,77.193 ± 1.650
0.744 ± 0.021,76.316 ± 1.352
0.734 ± 0.019,74.956 ± 1.899
0.710 ± 0.039,72.961 ± 3.487
0.759 ± 0.013,77.697 ± 1.233
0.746 ± 0.026,76.601 ± 2.319
0.741 ± 0.023,75.855 ± 1.761
0.752 ± 0.022,77.039 ± 1.345
0.740 ± 0.019,75.526 ± 1.974
0.720 ± 0.033,73.443 ± 3.113
0.759 ± 0.017,77.588 ± 1.143
0.750 ± 0.022,76.776 ± 2.072
0.730 ± 0.035,74.298 ± 2.655
0.758 ± 0.020,76.930 ± 2.012
0.750 ± 0.018,76.360 ± 1.477
0.731 ± 0.022,74.474 ± 1.696
0.757 ± 0.017,77.697 ± 1.471
0.755 ± 0.019,77.215 ± 1.416
0.740 ± 0.028,75.526 ± 2.415
0.768 ± 0.013,78.311 ± 0.775
0.760 ± 0.012,77.303 ± 1.170
0.757 ± 0.012,76.360 ± 1.687
0.766 ± 0.014,78.180 ± 0.761
0.764 ± 0.015,77.895 ± 1.051
0.755 ± 0.019,76.820 ± 1.513
0.707 ± 0.030,71.754 ± 1.834
0.693 ± 0.028,69.781 ± 2.446
0.674 ± 0.023,68.465 ± 1.437
0.746 ± 0.025,76.294 ± 1.527
0.744 ± 0.020,75.768 ± 1.249
0.716 ± 0.026,72.368 ± 2.648
0.721 ± 0.025,72.785 ± 2.898
0.706 ± 0.028,71.732 ± 2.941
0.699 ± 0.026,71.053 ± 2.957
0.747 ± 0.022,76.469 ± 1.653
0.734 ± 0.030,74.715 ± 2.325
0.710 ± 0.031,72.039 ± 2.579
0.731 ± 0.018,74.189 ± 1.790
0.724 ± 0.014,73.136 ± 2.271
0.719 ± 0.020,72.039 ± 1.495
0.752 ± 0.023,76.776 ± 1.645
0.741 ± 0.027,75.395 ± 1.816
0.714 ± 0.027,72.303 ± 2.698
0.757 ± 0.016,76.952 ± 1.295
0.749 ± 0.016,76.316 ± 1.279
0.736 ± 0.013,74.781 ± 1.271
0.759 ± 0.018,76.996 ± 1.273
0.749 ± 0.018,75.789 ± 1.294
0.741 ± 0.013,74.759 ± 1.317
0.673 ± 0.038,68.092 ± 3.448
0.653 ± 0.032,66.118 ± 3.077
0.653 ± 0.028,65.921 ± 2.910
0.741 ± 0.034,75.395 ± 3.106
0.722 ± 0.045,73.465 ± 3.643
0.699 ± 0.031,70.724 ± 3.246
0.700 ± 0.032,71.382 ± 3.220
0.689 ± 0.026,69.474 ± 2.859
0.686 ± 0.029,69.649 ± 2.843
0.740 ± 0.041,75.746 ± 3.371
0.714 ± 0.049,72.697 ± 3.865
0.697 ± 0.028,70.614 ± 3.233
0.718 ± 0.030,72.675 ± 3.026
0.711 ± 0.016,71.711 ± 2.680
0.686 ± 0.021,69.781 ± 2.751
0.747 ± 0.029,76.842 ± 2.358
0.728 ± 0.043,74.298 ± 3.200
0.707 ± 0.035,71.952 ± 3.020
0.734 ± 0.026,74.452 ± 2.136
0.713 ± 0.026,72.346 ± 2.638
0.694 ± 0.018,70.351 ± 2.576
0.753 ± 0.023,76.732 ± 1.872
0.742 ± 0.023,75.395 ± 1.824
0.713 ± 0.023,72.303 ± 2.432
0.687 ± 0.036,69.846 ± 3.466
0.675 ± 0.027,68.289 ± 2.814
0.666 ± 0.023,66.974 ± 2.456
0.743 ± 0.028,75.482 ± 2.043
0.728 ± 0.026,74.430 ± 2.237
0.711 ± 0.028,71.667 ± 2.749
0.711 ± 0.023,71.667 ± 3.182
0.704 ± 0.035,70.987 ± 3.051
0.692 ± 0.020,69.890 ± 2.936
0.745 ± 0.024,76.031 ± 1.858
0.730 ± 0.022,74.276 ± 2.189
0.705 ± 0.033,71.206 ± 3.106
0.721 ± 0.021,72.961 ± 2.599
0.714 ± 0.019,72.390 ± 1.943
0.710 ± 0.017,71.776 ± 1.947
0.747 ± 0.025,75.943 ± 2.516
0.732 ± 0.032,74.254 ± 2.429
0.712 ± 0.029,71.601 ± 2.352
