0.683 ± 0.013,68.672 ± 2.089
0.686 ± 0.017,69.014 ± 3.046
0.700 ± 0.014,70.322 ± 2.719
0.706 ± 0.013,71.167 ± 2.666
0.671 ± 0.015,67.767 ± 2.387
0.677 ± 0.011,68.370 ± 2.155
0.687 ± 0.012,69.235 ± 2.340
0.679 ± 0.012,67.767 ± 2.363
0.686 ± 0.020,69.256 ± 2.586
0.713 ± 0.011,71.911 ± 2.662
0.672 ± 0.014,67.384 ± 2.230
0.682 ± 0.016,68.692 ± 2.476
0.695 ± 0.014,69.940 ± 2.286
0.679 ± 0.024,67.404 ± 3.029
0.679 ± 0.015,68.431 ± 2.043
0.690 ± 0.018,69.316 ± 2.312
0.663 ± 0.011,66.479 ± 2.212
0.668 ± 0.011,66.881 ± 2.034
0.681 ± 0.015,68.229 ± 2.723
0.682 ± 0.012,68.531 ± 2.248
0.690 ± 0.014,69.497 ± 2.733
0.702 ± 0.009,70.624 ± 2.699
0.672 ± 0.013,67.746 ± 2.264
0.676 ± 0.013,68.330 ± 2.468
0.684 ± 0.010,69.175 ± 2.532
0.692 ± 0.021,70.040 ± 3.361
0.708 ± 0.019,71.207 ± 2.912
0.724 ± 0.015,72.374 ± 2.222
0.671 ± 0.015,67.646 ± 2.447
0.680 ± 0.013,68.551 ± 2.556
0.690 ± 0.015,69.497 ± 2.395
0.682 ± 0.020,68.913 ± 2.947
0.697 ± 0.022,70.724 ± 2.971
0.716 ± 0.017,72.696 ± 2.740
0.677 ± 0.017,68.249 ± 2.135
0.689 ± 0.017,69.698 ± 2.476
0.700 ± 0.012,70.744 ± 2.066
0.722 ± 0.019,72.455 ± 2.693
0.725 ± 0.018,72.173 ± 2.450
0.733 ± 0.014,73.461 ± 2.685
0.665 ± 0.014,67.163 ± 1.839
0.672 ± 0.015,67.847 ± 2.375
0.686 ± 0.014,69.256 ± 2.146
0.704 ± 0.013,70.684 ± 2.226
0.707 ± 0.012,70.644 ± 2.393
0.716 ± 0.012,70.986 ± 2.155
0.687 ± 0.011,69.135 ± 2.411
0.692 ± 0.011,69.437 ± 2.043
0.695 ± 0.010,69.920 ± 2.266
0.714 ± 0.011,71.227 ± 2.619
0.716 ± 0.013,71.952 ± 2.091
0.725 ± 0.008,72.616 ± 2.057
0.692 ± 0.013,69.557 ± 2.617
0.696 ± 0.013,69.839 ± 2.250
