0.897 ± 0.004,89.404 ± 0.503
0.893 ± 0.004,89.059 ± 0.322
0.893 ± 0.004,89.095 ± 0.338
0.895 ± 0.005,89.247 ± 0.337
0.892 ± 0.005,88.950 ± 0.393
0.895 ± 0.005,89.249 ± 0.315
0.897 ± 0.005,89.430 ± 0.494
0.893 ± 0.004,89.095 ± 0.365
0.894 ± 0.004,89.211 ± 0.402
0.893 ± 0.004,89.128 ± 0.465
0.894 ± 0.005,89.186 ± 0.293
0.896 ± 0.004,89.275 ± 0.446
0.896 ± 0.004,89.457 ± 0.460
0.893 ± 0.007,89.176 ± 0.565
0.895 ± 0.005,89.326 ± 0.577
0.896 ± 0.004,89.422 ± 0.479
0.895 ± 0.006,89.313 ± 0.656
0.895 ± 0.007,89.280 ± 0.558
0.897 ± 0.005,89.511 ± 0.573
0.895 ± 0.005,89.242 ± 0.382
0.895 ± 0.006,89.308 ± 0.404
0.896 ± 0.005,89.473 ± 0.501
0.894 ± 0.005,89.181 ± 0.424
0.895 ± 0.006,89.300 ± 0.456
0.897 ± 0.004,89.483 ± 0.386
