0.679 ± 0.021,67.752 ± 3.580
0.611 ± 0.029,60.836 ± 2.391
0.638 ± 0.021,63.871 ± 2.561
0.667 ± 0.026,66.340 ± 3.062
0.670 ± 0.024,65.793 ± 3.413
0.679 ± 0.015,67.368 ± 2.679
0.695 ± 0.021,69.308 ± 2.361
0.680 ± 0.014,67.618 ± 1.642
0.689 ± 0.013,68.578 ± 1.592
0.700 ± 0.014,69.193 ± 1.356
0.696 ± 0.017,69.308 ± 2.577
0.708 ± 0.010,70.836 ± 1.668
0.711 ± 0.012,71.009 ± 1.900
0.540 ± 0.049,54.150 ± 4.090
0.574 ± 0.060,57.272 ± 6.141
0.660 ± 0.031,65.648 ± 3.185
0.547 ± 0.104,54.890 ± 9.951
0.658 ± 0.068,65.591 ± 6.017
0.673 ± 0.076,66.897 ± 8.387
0.603 ± 0.030,60.038 ± 2.808
0.616 ± 0.047,61.076 ± 5.002
0.671 ± 0.022,66.657 ± 2.657
0.636 ± 0.036,63.708 ± 3.972
0.666 ± 0.028,66.378 ± 3.142
0.695 ± 0.017,69.039 ± 3.060
0.601 ± 0.022,59.798 ± 3.015
0.620 ± 0.020,62.017 ± 2.544
0.664 ± 0.015,65.620 ± 2.560
0.668 ± 0.026,65.591 ± 3.231
0.681 ± 0.022,67.358 ± 2.590
0.694 ± 0.018,69.126 ± 2.433
0.613 ± 0.016,60.836 ± 2.355
0.624 ± 0.022,61.710 ± 3.061
0.671 ± 0.016,66.359 ± 2.139
0.664 ± 0.025,65.725 ± 3.350
0.682 ± 0.021,67.426 ± 2.847
0.691 ± 0.016,68.213 ± 2.711
0.684 ± 0.032,67.848 ± 3.410
0.675 ± 0.016,66.772 ± 2.430
0.673 ± 0.017,66.974 ± 2.211
0.671 ± 0.057,66.503 ± 5.177
0.706 ± 0.015,70.144 ± 2.379
0.703 ± 0.012,70.183 ± 1.875
0.667 ± 0.032,66.081 ± 3.470
0.676 ± 0.026,66.465 ± 2.889
0.655 ± 0.025,65.034 ± 2.415
0.701 ± 0.010,69.280 ± 2.428
0.700 ± 0.015,69.587 ± 1.918
0.690 ± 0.014,68.492 ± 2.092
0.686 ± 0.021,67.560 ± 2.421
