0.828 ± 0.015,82.877 ± 2.164
0.836 ± 0.011,82.877 ± 2.162
0.760 ± 0.034,76.559 ± 4.533
0.776 ± 0.041,77.626 ± 4.824
0.797 ± 0.033,79.859 ± 3.876
0.849 ± 0.011,85.151 ± 1.013
0.853 ± 0.012,85.272 ± 1.269
0.852 ± 0.011,85.151 ± 0.917
0.829 ± 0.011,82.696 ± 1.793
0.827 ± 0.011,82.555 ± 1.517
0.826 ± 0.009,82.515 ± 2.254
0.854 ± 0.012,85.654 ± 1.128
0.856 ± 0.009,86.076 ± 1.461
0.858 ± 0.008,85.996 ± 1.314
0.848 ± 0.008,85.030 ± 1.215
0.849 ± 0.010,84.769 ± 1.231
0.850 ± 0.010,85.030 ± 0.966
0.850 ± 0.012,85.594 ± 1.121
0.852 ± 0.010,85.493 ± 1.641
0.857 ± 0.009,85.956 ± 1.519
0.850 ± 0.009,85.151 ± 1.213
0.853 ± 0.007,85.453 ± 1.323
0.853 ± 0.009,85.553 ± 1.246
0.827 ± 0.014,81.992 ± 2.635
0.827 ± 0.013,82.435 ± 2.273
0.841 ± 0.007,83.823 ± 1.620
0.780 ± 0.033,77.847 ± 4.150
0.805 ± 0.029,80.664 ± 3.784
0.830 ± 0.011,82.938 ± 1.747
0.849 ± 0.009,85.231 ± 0.987
0.850 ± 0.010,85.493 ± 1.242
0.855 ± 0.009,85.412 ± 1.335
0.825 ± 0.014,82.294 ± 2.180
0.828 ± 0.011,82.616 ± 2.460
0.838 ± 0.010,83.602 ± 1.853
0.858 ± 0.009,85.755 ± 1.393
0.859 ± 0.010,86.197 ± 1.368
0.859 ± 0.009,86.197 ± 1.722
0.846 ± 0.010,85.292 ± 1.118
0.849 ± 0.009,85.231 ± 1.117
0.852 ± 0.009,85.433 ± 1.267
0.859 ± 0.009,86.097 ± 1.591
0.861 ± 0.009,86.237 ± 1.689
0.862 ± 0.009,86.016 ± 1.409
0.854 ± 0.007,85.493 ± 1.580
0.856 ± 0.007,85.795 ± 1.652
0.857 ± 0.009,85.956 ± 1.516
0.828 ± 0.015,82.938 ± 2.834
0.844 ± 0.012,84.306 ± 1.806
0.852 ± 0.011,85.473 ± 2.308
0.798 ± 0.042,79.678 ± 4.287
0.817 ± 0.034,82.052 ± 4.454
0.833 ± 0.014,83.119 ± 2.630
0.853 ± 0.009,85.231 ± 1.435
0.856 ± 0.010,85.352 ± 1.489
0.859 ± 0.009,85.996 ± 1.397
0.835 ± 0.016,83.179 ± 1.909
0.843 ± 0.014,83.964 ± 1.938
0.849 ± 0.012,85.231 ± 1.625
0.869 ± 0.012,86.962 ± 1.068
0.863 ± 0.008,86.680 ± 1.123
0.865 ± 0.010,86.398 ± 1.356
0.858 ± 0.008,85.453 ± 1.426
0.855 ± 0.008,85.533 ± 1.638
0.858 ± 0.008,85.936 ± 1.274
0.871 ± 0.012,87.062 ± 1.338
0.865 ± 0.009,86.338 ± 1.357
0.867 ± 0.008,86.761 ± 1.236
0.860 ± 0.008,86.076 ± 1.173
0.863 ± 0.007,86.318 ± 1.295
0.861 ± 0.008,86.278 ± 1.529
0.816 ± 0.024,81.368 ± 3.706
0.820 ± 0.021,81.730 ± 3.478
0.826 ± 0.033,82.173 ± 4.433
0.767 ± 0.045,76.499 ± 5.492
0.782 ± 0.046,78.149 ± 5.319
0.803 ± 0.039,79.779 ± 5.142
0.846 ± 0.006,84.406 ± 2.628
0.851 ± 0.007,85.131 ± 1.449
0.854 ± 0.007,85.433 ± 1.842
0.817 ± 0.025,81.690 ± 2.801
0.819 ± 0.028,81.771 ± 3.575
0.829 ± 0.020,83.078 ± 2.947
0.855 ± 0.007,86.056 ± 1.437
0.855 ± 0.009,85.755 ± 1.529
0.856 ± 0.009,86.056 ± 1.353
0.847 ± 0.010,84.628 ± 1.449
0.844 ± 0.008,84.547 ± 1.545
0.848 ± 0.008,84.668 ± 1.486
0.857 ± 0.009,85.513 ± 1.335
0.856 ± 0.009,85.855 ± 1.038
0.857 ± 0.012,85.976 ± 1.329
0.850 ± 0.009,85.312 ± 1.535
0.850 ± 0.009,85.332 ± 1.133
0.858 ± 0.005,85.734 ± 1.557
0.826 ± 0.021,82.314 ± 2.728
0.835 ± 0.016,83.159 ± 2.960
0.845 ± 0.013,84.648 ± 2.145
0.785 ± 0.043,78.793 ± 4.981
0.797 ± 0.052,79.598 ± 5.490
0.837 ± 0.014,83.803 ± 2.761
0.851 ± 0.009,84.950 ± 1.654
0.855 ± 0.009,85.392 ± 1.559
0.858 ± 0.009,86.137 ± 1.646
0.828 ± 0.014,82.495 ± 3.194
0.834 ± 0.019,82.817 ± 3.217
0.847 ± 0.011,84.406 ± 2.366
0.863 ± 0.007,86.821 ± 1.178
0.863 ± 0.008,86.258 ± 1.506
0.865 ± 0.008,86.439 ± 1.780
0.848 ± 0.008,85.050 ± 1.569
0.855 ± 0.010,85.252 ± 1.394
0.855 ± 0.009,85.895 ± 1.398
0.866 ± 0.012,86.419 ± 1.311
0.865 ± 0.007,86.700 ± 1.055
0.868 ± 0.007,86.761 ± 1.259
0.860 ± 0.005,86.036 ± 1.468
0.860 ± 0.006,86.298 ± 1.372
0.862 ± 0.010,86.258 ± 1.377
0.824 ± 0.009,82.233 ± 1.676
0.827 ± 0.014,81.932 ± 1.971
0.841 ± 0.016,84.044 ± 1.647
0.799 ± 0.032,80.101 ± 3.383
0.796 ± 0.035,79.598 ± 4.296
0.820 ± 0.020,81.911 ± 1.867
0.849 ± 0.010,84.728 ± 0.856
0.850 ± 0.010,84.809 ± 0.806
0.853 ± 0.009,85.091 ± 1.016
0.826 ± 0.013,82.294 ± 1.669
0.827 ± 0.015,82.555 ± 1.943
0.834 ± 0.019,83.179 ± 1.834
0.856 ± 0.008,85.131 ± 0.846
0.856 ± 0.009,85.070 ± 1.041
0.858 ± 0.009,85.332 ± 1.059
0.844 ± 0.008,84.266 ± 0.943
0.847 ± 0.009,84.427 ± 1.244
0.847 ± 0.010,84.849 ± 0.965
0.855 ± 0.009,85.091 ± 0.734
0.858 ± 0.010,85.352 ± 0.783
0.859 ± 0.009,85.392 ± 1.050
0.851 ± 0.006,84.588 ± 1.167
0.853 ± 0.007,84.688 ± 1.012
0.854 ± 0.007,84.889 ± 0.802
0.822 ± 0.014,81.952 ± 2.217
0.828 ± 0.010,82.072 ± 1.603
0.837 ± 0.009,83.501 ± 1.738
0.766 ± 0.031,76.519 ± 3.681
0.784 ± 0.039,78.330 ± 4.761
0.806 ± 0.030,80.624 ± 3.375
0.849 ± 0.010,85.050 ± 0.982
0.850 ± 0.009,84.849 ± 0.927
0.853 ± 0.012,85.171 ± 0.935
0.820 ± 0.011,81.610 ± 1.932
0.822 ± 0.009,81.911 ± 1.541
0.831 ± 0.008,82.495 ± 1.564
0.850 ± 0.011,84.950 ± 0.741
0.850 ± 0.012,85.070 ± 0.843
0.856 ± 0.008,85.352 ± 0.762
0.845 ± 0.009,84.728 ± 0.928
0.845 ± 0.010,84.889 ± 0.874
0.849 ± 0.010,84.849 ± 0.896
0.848 ± 0.006,84.608 ± 0.831
0.851 ± 0.008,84.547 ± 0.894
0.852 ± 0.008,84.889 ± 0.933
0.848 ± 0.007,84.527 ± 0.937
0.848 ± 0.010,84.748 ± 0.972
0.848 ± 0.009,84.688 ± 0.879
0.816 ± 0.018,81.348 ± 2.367
0.823 ± 0.011,82.093 ± 2.253
0.839 ± 0.008,83.441 ± 1.359
0.783 ± 0.041,78.350 ± 4.636
0.803 ± 0.028,80.121 ± 3.515
0.819 ± 0.020,81.710 ± 2.632
0.846 ± 0.010,84.507 ± 0.961
0.847 ± 0.011,84.527 ± 0.822
0.850 ± 0.011,84.930 ± 1.302
0.818 ± 0.014,81.328 ± 1.813
0.822 ± 0.014,81.569 ± 1.618
0.829 ± 0.012,82.656 ± 1.278
0.853 ± 0.008,85.151 ± 0.989
0.854 ± 0.009,85.211 ± 0.932
0.855 ± 0.010,85.191 ± 0.840
0.844 ± 0.009,84.406 ± 0.801
0.844 ± 0.009,84.447 ± 0.835
0.847 ± 0.010,84.628 ± 1.234
0.856 ± 0.007,85.292 ± 0.822
0.855 ± 0.007,85.151 ± 0.876
0.857 ± 0.008,85.252 ± 0.909
0.851 ± 0.006,84.668 ± 0.799
0.851 ± 0.006,84.708 ± 0.886
0.853 ± 0.007,84.950 ± 0.814
0.836 ± 0.008,82.998 ± 2.347
0.834 ± 0.018,83.260 ± 2.112
0.844 ± 0.011,84.266 ± 1.695
0.788 ± 0.038,78.270 ± 3.419
0.813 ± 0.028,81.630 ± 2.689
0.832 ± 0.014,83.179 ± 1.787
0.854 ± 0.007,85.513 ± 1.166
0.853 ± 0.010,85.553 ± 1.609
0.856 ± 0.009,85.835 ± 1.289
0.831 ± 0.012,82.837 ± 1.788
0.835 ± 0.010,82.777 ± 2.362
0.840 ± 0.010,83.883 ± 1.769
0.860 ± 0.008,86.016 ± 1.504
0.859 ± 0.009,86.137 ± 1.296
0.861 ± 0.009,86.217 ± 1.267
0.851 ± 0.008,85.171 ± 1.476
0.853 ± 0.009,85.473 ± 1.364
0.855 ± 0.009,85.553 ± 1.841
0.861 ± 0.009,86.016 ± 1.463
0.863 ± 0.008,86.338 ± 1.351
0.863 ± 0.009,86.097 ± 1.424
0.857 ± 0.009,85.372 ± 1.332
0.858 ± 0.009,85.775 ± 1.409
0.861 ± 0.008,85.936 ± 1.461
0.820 ± 0.018,81.851 ± 2.362
0.826 ± 0.014,82.354 ± 2.280
0.834 ± 0.012,83.038 ± 1.662
0.764 ± 0.036,76.519 ± 4.675
0.771 ± 0.036,77.223 ± 4.416
0.792 ± 0.045,79.074 ± 5.151
0.847 ± 0.010,85.050 ± 0.900
0.854 ± 0.007,85.433 ± 1.015
0.852 ± 0.010,85.372 ± 0.969
0.824 ± 0.011,82.294 ± 1.851
0.830 ± 0.012,82.515 ± 1.776
0.828 ± 0.013,82.274 ± 2.912
0.856 ± 0.009,85.433 ± 1.286
0.858 ± 0.008,85.795 ± 1.371
0.861 ± 0.010,86.097 ± 1.502
0.848 ± 0.009,85.151 ± 1.213
0.851 ± 0.010,85.030 ± 0.970
0.851 ± 0.010,85.010 ± 0.831
0.852 ± 0.009,85.372 ± 1.347
0.854 ± 0.010,85.372 ± 1.426
0.857 ± 0.011,85.755 ± 1.183
0.851 ± 0.008,85.372 ± 1.191
0.852 ± 0.008,85.312 ± 1.359
0.853 ± 0.008,85.352 ± 1.331
0.826 ± 0.013,82.012 ± 2.512
0.827 ± 0.014,82.254 ± 2.482
0.840 ± 0.007,84.064 ± 1.599
