0.580 ± 0.026,58.722 ± 2.574
0.604 ± 0.023,60.740 ± 3.038
0.604 ± 0.068,60.279 ± 5.906
0.649 ± 0.019,64.246 ± 2.872
0.656 ± 0.015,65.524 ± 2.304
0.522 ± 0.019,52.738 ± 1.812
0.546 ± 0.043,54.688 ± 3.196
0.600 ± 0.023,60.346 ± 2.729
0.602 ± 0.055,60.250 ± 4.865
0.637 ± 0.027,63.910 ± 2.244
0.643 ± 0.018,64.131 ± 2.352
0.575 ± 0.013,57.531 ± 2.113
0.577 ± 0.025,57.646 ± 3.084
0.589 ± 0.016,58.578 ± 2.484
0.630 ± 0.025,62.546 ± 2.361
0.631 ± 0.026,63.007 ± 2.579
0.622 ± 0.031,61.729 ± 3.002
0.637 ± 0.019,63.180 ± 1.650
0.637 ± 0.011,63.103 ± 1.937
0.618 ± 0.018,61.691 ± 2.904
0.685 ± 0.010,67.906 ± 2.474
0.678 ± 0.012,67.512 ± 1.692
0.674 ± 0.014,67.176 ± 2.143
0.419 ± 0.050,42.815 ± 6.284
0.513 ± 0.112,51.297 ± 9.942
0.575 ± 0.127,57.147 ± 12.519
0.485 ± 0.124,48.905 ± 11.596
0.571 ± 0.142,57.387 ± 12.721
0.684 ± 0.018,68.156 ± 1.966
0.464 ± 0.024,47.483 ± 2.449
0.577 ± 0.066,57.867 ± 6.781
0.647 ± 0.015,64.486 ± 2.228
0.617 ± 0.096,61.518 ± 9.207
0.691 ± 0.012,68.713 ± 2.364
0.693 ± 0.011,68.742 ± 2.539
0.557 ± 0.040,55.331 ± 3.718
0.634 ± 0.023,63.074 ± 2.573
0.654 ± 0.018,64.986 ± 1.959
0.637 ± 0.074,63.420 ± 7.025
0.702 ± 0.010,70.077 ± 2.468
0.694 ± 0.013,68.886 ± 1.944
0.631 ± 0.022,62.709 ± 2.585
0.654 ± 0.016,65.139 ± 1.951
0.666 ± 0.012,66.013 ± 1.841
0.675 ± 0.045,67.541 ± 4.625
0.703 ± 0.010,69.866 ± 1.905
0.695 ± 0.012,69.039 ± 2.500
0.492 ± 0.067,49.414 ± 6.025
0.558 ± 0.046,55.860 ± 5.412
0.611 ± 0.018,60.692 ± 2.575
0.550 ± 0.108,54.592 ± 8.823
0.634 ± 0.042,63.045 ± 4.309
0.649 ± 0.020,65.043 ± 2.036
0.514 ± 0.033,51.892 ± 3.891
0.543 ± 0.047,54.524 ± 3.746
0.605 ± 0.017,60.375 ± 2.227
0.596 ± 0.056,59.251 ± 5.456
0.621 ± 0.025,62.133 ± 2.904
0.636 ± 0.022,62.920 ± 3.444
