0.660 ± 0.064,65.987 ± 4.976
0.651 ± 0.056,65.134 ± 4.805
0.663 ± 0.048,66.946 ± 4.821
0.692 ± 0.018,69.014 ± 2.563
0.694 ± 0.013,69.439 ± 2.720
0.697 ± 0.014,70.048 ± 2.008
0.638 ± 0.053,63.928 ± 4.948
0.611 ± 0.043,60.765 ± 4.470
0.621 ± 0.040,62.004 ± 2.630
0.673 ± 0.022,67.382 ± 2.579
0.649 ± 0.033,64.623 ± 2.867
0.633 ± 0.035,63.328 ± 2.955
0.626 ± 0.014,62.090 ± 2.420
0.629 ± 0.018,62.764 ± 2.324
0.636 ± 0.025,63.935 ± 2.717
0.651 ± 0.044,65.235 ± 4.832
0.641 ± 0.059,64.083 ± 5.159
0.580 ± 0.016,56.917 ± 4.362
0.657 ± 0.019,65.691 ± 2.385
0.657 ± 0.020,65.754 ± 2.398
0.656 ± 0.019,66.127 ± 1.931
0.614 ± 0.020,61.207 ± 2.513
0.615 ± 0.020,60.988 ± 2.988
0.623 ± 0.021,61.708 ± 2.563
0.699 ± 0.021,70.135 ± 2.591
0.696 ± 0.022,69.846 ± 2.311
0.704 ± 0.017,70.627 ± 2.112
0.699 ± 0.016,70.479 ± 2.181
0.700 ± 0.017,70.736 ± 2.234
0.705 ± 0.017,70.723 ± 2.276
0.676 ± 0.014,67.491 ± 2.797
0.674 ± 0.015,67.362 ± 2.445
0.676 ± 0.025,67.577 ± 2.020
0.682 ± 0.016,67.746 ± 2.722
0.676 ± 0.023,67.532 ± 2.556
0.664 ± 0.031,66.097 ± 3.638
0.632 ± 0.019,63.553 ± 2.760
0.638 ± 0.017,63.577 ± 2.481
0.653 ± 0.014,65.434 ± 2.429
0.647 ± 0.033,64.829 ± 4.426
0.651 ± 0.015,64.902 ± 2.482
0.627 ± 0.017,62.348 ± 3.064
0.662 ± 0.015,66.723 ± 2.701
0.668 ± 0.018,66.978 ± 2.496
0.667 ± 0.017,67.180 ± 2.577
0.621 ± 0.018,61.543 ± 2.820
0.620 ± 0.017,61.996 ± 2.627
0.620 ± 0.019,61.994 ± 3.047
0.701 ± 0.016,70.725 ± 1.985
0.706 ± 0.019,70.672 ± 2.001
0.708 ± 0.015,71.287 ± 2.030
0.700 ± 0.015,70.539 ± 2.117
0.703 ± 0.015,70.753 ± 2.150
0.705 ± 0.015,70.831 ± 2.440
0.699 ± 0.018,69.968 ± 2.054
0.701 ± 0.019,70.337 ± 2.149
0.705 ± 0.018,70.434 ± 2.227
0.698 ± 0.017,69.850 ± 2.239
0.699 ± 0.016,70.075 ± 2.121
0.702 ± 0.019,69.992 ± 1.937
0.703 ± 0.015,70.185 ± 2.112
0.701 ± 0.016,70.380 ± 2.100
0.703 ± 0.016,70.303 ± 2.111
0.697 ± 0.017,69.895 ± 2.211
0.695 ± 0.015,69.619 ± 1.959
0.697 ± 0.018,69.987 ± 2.102
0.661 ± 0.018,67.122 ± 2.537
0.665 ± 0.022,66.807 ± 2.328
0.681 ± 0.021,68.355 ± 3.370
0.612 ± 0.017,61.172 ± 3.262
0.614 ± 0.020,61.237 ± 3.331
0.634 ± 0.036,62.762 ± 3.897
0.694 ± 0.023,69.758 ± 1.978
0.693 ± 0.023,69.623 ± 1.953
0.699 ± 0.027,70.298 ± 2.818
0.701 ± 0.016,70.331 ± 2.214
0.702 ± 0.016,70.721 ± 2.579
0.701 ± 0.021,70.517 ± 1.795
0.686 ± 0.021,68.516 ± 1.880
0.683 ± 0.025,68.226 ± 1.936
0.673 ± 0.025,67.158 ± 2.215
0.685 ± 0.019,68.282 ± 2.206
0.681 ± 0.025,68.274 ± 2.301
0.668 ± 0.031,66.350 ± 2.635
0.636 ± 0.014,63.851 ± 3.505
0.645 ± 0.025,64.612 ± 2.560
0.661 ± 0.020,66.412 ± 2.705
0.666 ± 0.036,66.406 ± 4.649
0.669 ± 0.015,67.066 ± 2.118
0.641 ± 0.012,64.083 ± 3.024
0.662 ± 0.014,66.601 ± 3.021
0.662 ± 0.013,67.139 ± 2.909
0.666 ± 0.017,67.049 ± 2.622
0.623 ± 0.018,61.739 ± 2.358
0.617 ± 0.014,61.640 ± 3.364
0.623 ± 0.021,62.230 ± 2.680
0.708 ± 0.018,70.665 ± 2.222
0.712 ± 0.013,70.978 ± 2.148
0.717 ± 0.017,71.463 ± 2.425
0.702 ± 0.014,70.800 ± 2.197
0.705 ± 0.018,70.674 ± 2.077
0.709 ± 0.015,70.803 ± 2.043
0.706 ± 0.014,70.275 ± 2.316
0.709 ± 0.015,70.824 ± 2.391
0.715 ± 0.015,71.362 ± 2.313
0.702 ± 0.014,70.500 ± 2.374
0.705 ± 0.017,70.487 ± 2.263
0.710 ± 0.015,70.809 ± 2.443
0.693 ± 0.019,68.932 ± 2.371
0.698 ± 0.017,69.363 ± 2.408
0.702 ± 0.023,69.854 ± 2.300
0.685 ± 0.020,68.580 ± 2.424
0.689 ± 0.017,68.816 ± 2.326
0.688 ± 0.019,68.773 ± 2.351
0.671 ± 0.025,66.579 ± 2.140
0.682 ± 0.023,67.939 ± 2.183
0.691 ± 0.027,68.844 ± 2.337
0.657 ± 0.015,66.157 ± 2.173
0.667 ± 0.008,66.519 ± 3.098
0.673 ± 0.015,67.495 ± 2.607
0.709 ± 0.016,70.918 ± 2.199
0.712 ± 0.015,70.989 ± 2.421
0.713 ± 0.013,71.517 ± 2.362
0.705 ± 0.015,70.365 ± 2.121
0.707 ± 0.016,70.331 ± 2.113
0.707 ± 0.019,70.820 ± 1.908
0.712 ± 0.015,71.000 ± 1.968
0.713 ± 0.016,70.959 ± 2.169
0.713 ± 0.014,71.189 ± 2.089
0.705 ± 0.016,70.571 ± 2.140
0.707 ± 0.017,70.612 ± 2.073
0.711 ± 0.019,70.878 ± 2.009
0.709 ± 0.018,71.088 ± 2.111
0.710 ± 0.015,71.412 ± 1.995
0.719 ± 0.016,71.643 ± 1.861
0.702 ± 0.016,70.005 ± 2.335
0.705 ± 0.017,70.125 ± 2.038
0.709 ± 0.016,70.920 ± 2.025
0.711 ± 0.015,71.032 ± 2.141
0.713 ± 0.014,70.963 ± 2.037
0.716 ± 0.015,71.322 ± 1.905
0.695 ± 0.026,69.529 ± 1.890
0.705 ± 0.015,70.399 ± 2.105
0.710 ± 0.015,70.324 ± 1.797
0.709 ± 0.017,70.590 ± 2.091
0.711 ± 0.015,70.918 ± 1.845
0.713 ± 0.015,71.497 ± 1.869
0.704 ± 0.016,70.843 ± 1.959
0.707 ± 0.016,70.234 ± 1.927
0.709 ± 0.014,70.854 ± 1.905
0.707 ± 0.015,70.708 ± 2.011
0.709 ± 0.015,70.854 ± 1.946
0.714 ± 0.014,71.244 ± 2.045
0.701 ± 0.016,70.236 ± 2.163
0.705 ± 0.016,70.378 ± 1.891
0.707 ± 0.015,70.903 ± 2.146
