0.680 ± 0.063,67.297 ± 6.098
0.778 ± 0.064,76.486 ± 5.545
0.783 ± 0.051,75.946 ± 6.216
0.800 ± 0.044,76.486 ± 6.169
0.802 ± 0.051,77.027 ± 4.563
0.800 ± 0.048,76.486 ± 4.689
0.788 ± 0.064,76.757 ± 5.432
0.754 ± 0.058,74.324 ± 7.668
0.780 ± 0.063,75.676 ± 7.739
0.792 ± 0.042,76.216 ± 5.771
0.732 ± 0.061,71.892 ± 9.456
0.783 ± 0.045,75.676 ± 5.669
0.790 ± 0.049,75.405 ± 7.094
0.771 ± 0.060,72.973 ± 8.716
0.768 ± 0.051,73.514 ± 9.502
0.769 ± 0.044,75.135 ± 7.815
0.753 ± 0.067,72.432 ± 9.189
0.729 ± 0.061,70.541 ± 9.081
0.742 ± 0.063,71.351 ± 8.391
0.671 ± 0.045,66.757 ± 7.744
0.697 ± 0.037,67.568 ± 7.451
0.698 ± 0.034,68.649 ± 6.964
0.663 ± 0.052,67.297 ± 8.585
0.690 ± 0.073,68.649 ± 7.171
0.719 ± 0.066,71.622 ± 8.820
0.798 ± 0.073,75.676 ± 5.669
0.792 ± 0.046,75.135 ± 4.804
0.781 ± 0.067,75.676 ± 5.669
0.763 ± 0.067,75.135 ± 4.490
0.778 ± 0.057,74.324 ± 5.439
0.776 ± 0.058,74.865 ± 5.676
0.754 ± 0.050,73.784 ± 8.636
0.768 ± 0.056,74.324 ± 7.856
0.786 ± 0.047,74.324 ± 8.820
0.700 ± 0.052,70.270 ± 8.632
0.737 ± 0.041,71.892 ± 6.642
0.769 ± 0.047,71.892 ± 6.419
0.742 ± 0.072,72.162 ± 8.968
0.731 ± 0.059,71.892 ± 8.564
0.731 ± 0.049,70.270 ± 9.205
0.690 ± 0.067,68.649 ± 6.859
0.722 ± 0.055,71.622 ± 8.220
0.725 ± 0.049,72.162 ± 8.804
0.663 ± 0.053,67.838 ± 6.670
0.686 ± 0.052,68.378 ± 7.744
0.675 ± 0.054,68.378 ± 8.291
0.656 ± 0.042,66.486 ± 7.272
0.656 ± 0.050,66.486 ± 6.642
0.688 ± 0.054,68.108 ± 7.431
0.859 ± 0.046,84.595 ± 7.357
0.847 ± 0.050,84.324 ± 5.378
0.849 ± 0.045,82.973 ± 5.275
0.844 ± 0.033,82.162 ± 4.045
0.832 ± 0.039,82.432 ± 4.720
0.822 ± 0.042,80.541 ± 4.650
0.866 ± 0.038,84.865 ± 5.565
0.847 ± 0.045,84.324 ± 5.512
0.847 ± 0.049,83.784 ± 6.620
0.842 ± 0.047,82.162 ± 6.531
0.836 ± 0.046,81.622 ± 4.954
0.827 ± 0.058,81.351 ± 5.727
0.859 ± 0.044,82.973 ± 5.927
0.854 ± 0.049,83.514 ± 6.098
0.841 ± 0.050,82.703 ± 6.642
0.820 ± 0.064,81.622 ± 5.897
0.842 ± 0.053,81.892 ± 6.515
0.820 ± 0.048,82.432 ± 7.277
0.812 ± 0.055,76.216 ± 8.530
0.856 ± 0.037,80.811 ± 6.098
0.844 ± 0.041,83.243 ± 6.708
0.754 ± 0.067,74.865 ± 9.673
0.785 ± 0.063,76.216 ± 9.502
0.825 ± 0.042,80.270 ± 8.113
0.846 ± 0.037,82.973 ± 5.275
0.844 ± 0.040,82.162 ± 4.391
0.844 ± 0.035,82.162 ± 3.461
0.837 ± 0.034,82.162 ± 5.296
0.837 ± 0.031,81.351 ± 5.049
0.829 ± 0.038,82.162 ± 4.222
0.853 ± 0.036,84.595 ± 2.432
0.851 ± 0.035,84.595 ± 3.209
0.844 ± 0.030,83.243 ± 4.650
0.839 ± 0.044,81.622 ± 6.373
0.841 ± 0.031,82.703 ± 4.555
0.832 ± 0.039,81.351 ± 4.433
0.831 ± 0.060,80.811 ± 6.333
0.856 ± 0.035,83.243 ± 4.152
0.851 ± 0.039,84.595 ± 5.412
0.824 ± 0.054,80.000 ± 10.412
0.810 ± 0.058,79.730 ± 7.763
0.832 ± 0.029,80.541 ± 6.139
0.837 ± 0.065,81.081 ± 7.833
0.844 ± 0.050,82.432 ± 5.701
0.847 ± 0.036,84.054 ± 5.727
0.783 ± 0.073,77.838 ± 9.805
0.810 ± 0.062,79.459 ± 10.199
0.834 ± 0.041,81.081 ± 6.509
0.859 ± 0.047,82.703 ± 6.419
0.856 ± 0.037,82.162 ± 5.296
0.851 ± 0.042,82.973 ± 4.842
0.841 ± 0.031,82.703 ± 4.555
0.841 ± 0.041,81.622 ± 4.152
0.817 ± 0.040,80.541 ± 3.586
0.851 ± 0.047,83.243 ± 6.373
0.861 ± 0.036,84.054 ± 4.433
0.854 ± 0.041,84.054 ± 5.853
0.832 ± 0.044,81.622 ± 5.643
0.831 ± 0.044,82.703 ± 6.531
0.834 ± 0.039,81.081 ± 5.405
0.851 ± 0.053,84.595 ± 5.275
0.847 ± 0.047,84.865 ± 6.964
0.849 ± 0.040,83.784 ± 5.921
0.814 ± 0.070,81.351 ± 5.466
0.831 ± 0.050,82.432 ± 5.701
0.827 ± 0.049,82.703 ± 6.642
0.822 ± 0.049,79.459 ± 8.304
0.847 ± 0.047,80.000 ± 7.852
0.842 ± 0.037,82.162 ± 7.470
0.776 ± 0.080,77.027 ± 8.308
0.788 ± 0.078,77.838 ± 8.090
0.812 ± 0.035,79.459 ± 7.470
0.841 ± 0.112,78.919 ± 8.699
0.807 ± 0.106,78.378 ± 12.026
0.824 ± 0.097,81.892 ± 6.843
0.869 ± 0.039,83.784 ± 5.405
0.824 ± 0.109,79.730 ± 10.554
0.764 ± 0.135,75.676 ± 14.044
0.863 ± 0.040,85.676 ± 5.803
0.866 ± 0.044,83.784 ± 5.405
0.871 ± 0.036,85.676 ± 5.275
0.861 ± 0.043,85.405 ± 4.712
0.858 ± 0.040,83.514 ± 4.902
0.863 ± 0.046,84.865 ± 4.555
0.875 ± 0.048,84.595 ± 6.735
0.871 ± 0.048,83.243 ± 7.907
0.863 ± 0.059,85.405 ± 3.666
0.864 ± 0.042,84.324 ± 5.771
0.856 ± 0.036,83.514 ± 6.885
0.854 ± 0.048,84.595 ± 5.275
0.878 ± 0.039,82.432 ± 7.377
0.859 ± 0.053,84.865 ± 7.372
0.853 ± 0.060,85.135 ± 7.763
0.863 ± 0.034,81.622 ± 7.027
0.853 ± 0.041,82.432 ± 6.193
0.842 ± 0.060,82.432 ± 5.020
0.781 ± 0.139,75.135 ± 11.196
0.810 ± 0.105,80.541 ± 9.109
0.761 ± 0.130,76.216 ± 13.394
0.785 ± 0.123,75.135 ± 13.174
0.754 ± 0.124,72.162 ± 13.353
0.749 ± 0.129,75.405 ± 11.870
0.847 ± 0.068,83.514 ± 6.885
0.824 ± 0.090,80.000 ± 8.391
0.817 ± 0.085,82.162 ± 8.478
0.856 ± 0.046,83.784 ± 5.669
0.842 ± 0.040,84.595 ± 5.275
0.849 ± 0.035,84.595 ± 5.412
0.858 ± 0.053,84.595 ± 4.366
0.875 ± 0.049,85.135 ± 5.020
0.864 ± 0.047,85.405 ± 5.432
0.866 ± 0.043,83.784 ± 5.797
0.858 ± 0.036,83.784 ± 6.943
0.853 ± 0.036,84.595 ± 4.366
0.869 ± 0.042,84.324 ± 4.954
0.859 ± 0.041,86.216 ± 4.433
0.859 ± 0.040,86.216 ± 5.049
0.839 ± 0.053,80.811 ± 5.192
0.853 ± 0.032,83.243 ± 5.099
0.846 ± 0.044,83.243 ± 6.708
0.812 ± 0.090,77.568 ± 9.971
0.795 ± 0.117,75.946 ± 11.622
0.778 ± 0.126,77.027 ± 9.382
0.788 ± 0.123,75.676 ± 13.675
0.792 ± 0.115,74.595 ± 11.091
0.769 ± 0.122,75.405 ± 12.174
0.859 ± 0.057,82.703 ± 5.565
0.866 ± 0.038,85.676 ± 4.531
0.866 ± 0.046,86.216 ± 5.598
0.866 ± 0.040,84.324 ± 5.241
0.853 ± 0.036,83.243 ± 5.241
0.859 ± 0.039,85.135 ± 5.439
