0.763 ± 0.016,77.083 ± 1.141
0.757 ± 0.016,76.645 ± 1.124
0.750 ± 0.016,76.075 ± 1.203
0.768 ± 0.016,77.873 ± 0.781
0.762 ± 0.015,77.061 ± 0.582
0.756 ± 0.016,76.382 ± 0.832
0.638 ± 0.021,64.715 ± 3.454
0.646 ± 0.023,65.110 ± 2.943
0.638 ± 0.020,64.715 ± 3.183
0.656 ± 0.070,65.833 ± 7.052
0.642 ± 0.052,64.649 ± 5.260
0.637 ± 0.036,64.298 ± 3.702
0.693 ± 0.015,69.671 ± 2.520
0.693 ± 0.013,70.044 ± 2.809
0.682 ± 0.022,68.882 ± 2.480
0.692 ± 0.044,70.197 ± 5.037
0.661 ± 0.035,66.930 ± 4.189
0.657 ± 0.027,66.732 ± 4.031
0.739 ± 0.016,74.496 ± 1.425
0.727 ± 0.021,73.004 ± 2.286
0.715 ± 0.013,71.908 ± 2.049
0.730 ± 0.015,73.860 ± 2.504
0.722 ± 0.012,72.127 ± 2.353
0.703 ± 0.017,71.447 ± 2.653
0.746 ± 0.017,75.526 ± 1.279
0.737 ± 0.016,74.846 ± 1.609
0.730 ± 0.013,74.123 ± 1.445
0.755 ± 0.016,76.908 ± 0.741
0.754 ± 0.016,76.294 ± 0.953
0.747 ± 0.014,75.461 ± 0.953
0.660 ± 0.027,66.842 ± 3.075
0.651 ± 0.023,65.614 ± 3.872
0.640 ± 0.018,65.241 ± 2.708
0.673 ± 0.037,68.443 ± 4.440
0.678 ± 0.034,68.399 ± 3.767
0.660 ± 0.031,66.952 ± 3.055
0.702 ± 0.022,71.206 ± 1.869
0.699 ± 0.020,70.373 ± 2.123
0.676 ± 0.018,68.355 ± 2.621
0.707 ± 0.030,71.798 ± 3.333
0.688 ± 0.030,69.211 ± 3.486
0.657 ± 0.030,66.908 ± 3.549
0.747 ± 0.015,75.285 ± 1.316
0.737 ± 0.022,74.803 ± 1.788
0.727 ± 0.024,73.553 ± 1.449
0.733 ± 0.013,74.145 ± 1.742
0.733 ± 0.011,74.145 ± 1.476
0.725 ± 0.013,73.092 ± 1.380
0.759 ± 0.020,77.105 ± 1.182
0.750 ± 0.019,76.338 ± 1.002
0.743 ± 0.020,75.482 ± 1.454
0.768 ± 0.015,77.785 ± 1.010
0.760 ± 0.014,77.259 ± 1.019
0.753 ± 0.015,76.140 ± 1.251
0.746 ± 0.019,75.833 ± 1.681
0.738 ± 0.025,75.285 ± 2.219
0.733 ± 0.020,74.430 ± 2.332
0.761 ± 0.017,77.785 ± 0.872
0.759 ± 0.019,77.018 ± 1.315
0.752 ± 0.019,76.557 ± 1.722
0.758 ± 0.016,77.193 ± 0.849
0.753 ± 0.019,76.689 ± 1.513
0.747 ± 0.016,76.118 ± 1.203
0.759 ± 0.017,77.851 ± 0.727
0.754 ± 0.022,76.579 ± 1.228
0.743 ± 0.027,75.768 ± 1.542
0.777 ± 0.017,78.838 ± 0.804
0.775 ± 0.019,78.772 ± 0.924
0.771 ± 0.020,78.114 ± 0.664
0.763 ± 0.016,78.662 ± 0.791
0.765 ± 0.017,78.180 ± 0.987
0.759 ± 0.018,77.478 ± 1.088
0.786 ± 0.016,79.605 ± 0.826
0.784 ± 0.016,79.320 ± 0.951
0.781 ± 0.017,79.364 ± 0.907
0.781 ± 0.016,79.583 ± 0.874
0.779 ± 0.018,79.298 ± 0.916
0.777 ± 0.016,79.518 ± 1.214
0.760 ± 0.015,78.202 ± 0.729
0.746 ± 0.044,76.798 ± 4.189
0.741 ± 0.027,75.833 ± 2.380
0.748 ± 0.040,76.360 ± 4.913
0.758 ± 0.014,77.917 ± 1.248
0.757 ± 0.016,76.820 ± 1.861
0.758 ± 0.019,77.807 ± 1.255
0.749 ± 0.021,76.469 ± 2.195
0.741 ± 0.024,75.241 ± 2.077
0.761 ± 0.014,77.917 ± 0.850
0.762 ± 0.013,78.092 ± 0.743
0.758 ± 0.016,77.346 ± 1.275
0.768 ± 0.015,78.465 ± 0.882
0.766 ± 0.016,78.070 ± 0.838
0.759 ± 0.017,77.478 ± 0.666
0.762 ± 0.014,78.048 ± 0.852
0.762 ± 0.015,77.829 ± 1.085
0.759 ± 0.020,77.193 ± 1.641
0.771 ± 0.014,78.662 ± 0.961
0.769 ± 0.013,78.618 ± 1.071
0.766 ± 0.014,78.180 ± 0.868
0.770 ± 0.014,78.925 ± 0.983
0.776 ± 0.015,79.057 ± 0.952
0.769 ± 0.015,78.509 ± 0.855
0.744 ± 0.024,75.724 ± 1.732
0.733 ± 0.031,74.386 ± 2.624
0.723 ± 0.027,73.048 ± 2.841
0.759 ± 0.018,77.566 ± 0.721
0.756 ± 0.022,76.623 ± 1.140
0.743 ± 0.021,75.746 ± 1.806
0.755 ± 0.018,77.149 ± 1.180
0.747 ± 0.016,75.987 ± 1.591
0.744 ± 0.019,74.912 ± 2.018
0.758 ± 0.020,77.500 ± 1.165
0.751 ± 0.025,76.382 ± 1.510
0.740 ± 0.019,75.395 ± 2.028
0.776 ± 0.019,78.904 ± 0.825
0.770 ± 0.019,78.377 ± 0.987
0.765 ± 0.018,78.048 ± 0.730
0.764 ± 0.018,78.289 ± 0.956
0.762 ± 0.018,77.500 ± 1.110
0.757 ± 0.017,76.776 ± 1.631
0.785 ± 0.018,79.474 ± 1.043
0.784 ± 0.018,79.452 ± 0.966
0.780 ± 0.017,79.232 ± 1.000
0.781 ± 0.016,79.364 ± 1.116
0.779 ± 0.017,79.298 ± 0.845
0.778 ± 0.017,79.211 ± 0.950
0.703 ± 0.032,71.601 ± 2.545
0.695 ± 0.034,70.482 ± 2.584
0.672 ± 0.011,67.368 ± 2.364
0.745 ± 0.023,76.447 ± 1.892
0.736 ± 0.028,74.978 ± 2.218
0.723 ± 0.022,73.289 ± 1.860
0.746 ± 0.016,75.724 ± 1.428
0.741 ± 0.014,75.066 ± 1.937
0.737 ± 0.014,74.452 ± 1.597
