0.715 ± 0.038,73.311 ± 4.544
0.718 ± 0.038,72.939 ± 4.756
0.712 ± 0.034,72.193 ± 4.027
0.693 ± 0.069,70.921 ± 7.303
0.702 ± 0.057,71.272 ± 6.718
0.696 ± 0.051,70.811 ± 5.704
0.742 ± 0.027,75.592 ± 2.567
0.742 ± 0.028,75.482 ± 2.934
0.728 ± 0.024,74.474 ± 2.051
0.740 ± 0.034,75.855 ± 3.927
0.739 ± 0.039,75.636 ± 3.784
0.726 ± 0.037,73.662 ± 4.510
0.752 ± 0.019,77.259 ± 1.475
0.750 ± 0.018,76.886 ± 1.927
0.749 ± 0.018,76.294 ± 1.725
0.750 ± 0.018,76.820 ± 1.401
0.748 ± 0.024,76.250 ± 1.719
0.735 ± 0.021,75.307 ± 2.053
0.703 ± 0.066,70.680 ± 7.231
0.675 ± 0.054,68.575 ± 6.250
0.676 ± 0.035,68.202 ± 4.303
0.657 ± 0.096,66.798 ± 10.818
0.669 ± 0.108,67.895 ± 11.743
0.708 ± 0.077,71.645 ± 8.577
0.717 ± 0.041,72.675 ± 4.586
0.718 ± 0.039,72.719 ± 4.422
0.689 ± 0.021,70.219 ± 3.179
0.699 ± 0.065,71.425 ± 6.819
0.701 ± 0.064,71.469 ± 6.483
0.678 ± 0.051,68.640 ± 6.093
0.736 ± 0.026,75.351 ± 2.489
0.726 ± 0.013,73.925 ± 1.406
0.721 ± 0.009,73.377 ± 1.442
0.743 ± 0.033,76.031 ± 2.983
0.728 ± 0.034,74.496 ± 3.433
0.707 ± 0.034,72.610 ± 3.709
0.754 ± 0.014,76.667 ± 1.071
0.749 ± 0.017,76.404 ± 0.889
0.741 ± 0.012,75.461 ± 1.154
0.751 ± 0.019,76.952 ± 1.677
0.745 ± 0.019,75.921 ± 1.652
0.726 ± 0.021,74.167 ± 1.883
0.653 ± 0.039,66.206 ± 4.707
0.641 ± 0.030,65.482 ± 5.082
0.649 ± 0.028,65.921 ± 4.843
0.698 ± 0.079,71.469 ± 8.894
0.712 ± 0.070,72.807 ± 7.249
0.720 ± 0.030,73.596 ± 2.474
0.673 ± 0.019,68.925 ± 2.970
0.676 ± 0.017,68.969 ± 1.780
0.683 ± 0.018,69.561 ± 1.916
0.691 ± 0.060,70.219 ± 6.102
0.671 ± 0.037,68.180 ± 4.656
0.652 ± 0.028,66.206 ± 4.125
0.717 ± 0.010,72.939 ± 1.165
0.717 ± 0.015,73.311 ± 1.123
0.715 ± 0.013,72.566 ± 1.423
0.706 ± 0.034,71.031 ± 4.157
0.688 ± 0.022,69.868 ± 3.516
0.669 ± 0.015,68.618 ± 1.642
0.751 ± 0.011,75.746 ± 1.128
0.743 ± 0.015,75.461 ± 1.325
0.735 ± 0.010,75.154 ± 0.910
0.730 ± 0.013,74.430 ± 1.132
0.727 ± 0.011,73.596 ± 1.696
0.715 ± 0.010,72.741 ± 1.442
0.662 ± 0.052,66.667 ± 5.567
0.666 ± 0.050,66.996 ± 5.079
0.653 ± 0.026,65.943 ± 4.086
0.667 ± 0.088,67.632 ± 9.220
0.666 ± 0.096,67.500 ± 9.960
0.688 ± 0.050,69.737 ± 4.687
0.706 ± 0.040,70.789 ± 3.835
0.692 ± 0.028,69.364 ± 3.211
0.684 ± 0.017,69.627 ± 2.843
0.717 ± 0.069,72.719 ± 6.855
0.710 ± 0.064,71.930 ± 5.574
0.693 ± 0.049,70.219 ± 5.041
0.738 ± 0.027,74.671 ± 2.330
0.719 ± 0.019,72.741 ± 2.489
0.698 ± 0.030,70.482 ± 3.520
0.747 ± 0.038,75.943 ± 3.412
0.724 ± 0.037,73.553 ± 3.727
0.713 ± 0.035,72.083 ± 3.245
0.744 ± 0.021,75.724 ± 1.575
0.736 ± 0.013,74.890 ± 1.257
0.703 ± 0.031,71.316 ± 3.822
0.750 ± 0.021,76.075 ± 1.697
0.739 ± 0.019,75.066 ± 2.101
0.726 ± 0.014,73.618 ± 1.591
0.649 ± 0.046,66.360 ± 6.340
0.645 ± 0.036,65.219 ± 5.350
0.632 ± 0.030,64.539 ± 5.453
0.684 ± 0.079,69.298 ± 9.056
0.684 ± 0.090,69.079 ± 9.986
0.716 ± 0.025,72.083 ± 2.716
0.692 ± 0.017,70.351 ± 2.581
0.677 ± 0.017,68.794 ± 3.410
0.675 ± 0.015,68.311 ± 2.387
0.698 ± 0.066,70.943 ± 6.374
0.665 ± 0.061,67.039 ± 5.953
0.636 ± 0.043,64.649 ± 6.248
0.720 ± 0.016,72.961 ± 1.047
0.711 ± 0.015,72.522 ± 1.538
0.706 ± 0.017,72.303 ± 1.835
0.716 ± 0.037,72.018 ± 4.224
0.691 ± 0.022,69.408 ± 3.249
0.663 ± 0.016,67.632 ± 2.474
0.744 ± 0.013,75.658 ± 1.308
0.740 ± 0.011,75.044 ± 1.188
0.734 ± 0.013,74.649 ± 1.317
0.736 ± 0.015,74.496 ± 1.991
0.722 ± 0.016,73.114 ± 1.920
0.719 ± 0.011,72.982 ± 1.565
0.678 ± 0.028,68.421 ± 4.148
0.664 ± 0.032,66.952 ± 3.755
0.668 ± 0.024,68.487 ± 3.300
0.690 ± 0.041,69.496 ± 3.947
0.679 ± 0.033,68.838 ± 3.475
0.659 ± 0.033,66.513 ± 3.303
0.687 ± 0.017,69.715 ± 3.287
0.685 ± 0.019,69.518 ± 3.631
0.693 ± 0.014,69.890 ± 3.192
0.668 ± 0.038,67.522 ± 4.932
0.670 ± 0.040,67.675 ± 3.797
0.664 ± 0.036,67.105 ± 3.798
0.702 ± 0.016,71.447 ± 2.175
0.702 ± 0.014,71.382 ± 2.528
0.699 ± 0.016,71.469 ± 1.775
0.675 ± 0.017,68.553 ± 3.444
0.667 ± 0.013,67.171 ± 2.889
0.663 ± 0.022,67.018 ± 3.523
0.731 ± 0.013,73.969 ± 1.185
0.720 ± 0.016,73.026 ± 1.993
0.717 ± 0.011,72.654 ± 1.635
0.707 ± 0.011,71.754 ± 1.326
0.710 ± 0.011,71.645 ± 1.591
0.696 ± 0.018,70.899 ± 1.790
0.636 ± 0.033,64.693 ± 4.421
0.646 ± 0.034,65.417 ± 4.851
0.649 ± 0.036,66.294 ± 4.288
0.627 ± 0.096,63.487 ± 10.180
0.630 ± 0.077,63.904 ± 7.966
0.629 ± 0.042,62.982 ± 5.129
0.666 ± 0.020,67.259 ± 4.384
0.691 ± 0.021,69.693 ± 3.652
0.689 ± 0.027,70.417 ± 3.411
0.653 ± 0.045,66.228 ± 5.668
0.655 ± 0.041,65.768 ± 4.943
0.644 ± 0.030,65.197 ± 4.324
0.678 ± 0.023,67.917 ± 2.968
0.680 ± 0.013,68.882 ± 3.012
0.685 ± 0.016,69.649 ± 2.677
0.685 ± 0.036,68.860 ± 4.965
0.662 ± 0.024,66.425 ± 4.675
0.660 ± 0.018,65.965 ± 3.712
0.684 ± 0.028,69.101 ± 3.443
0.679 ± 0.018,68.553 ± 3.356
0.673 ± 0.021,67.610 ± 3.413
0.706 ± 0.026,70.833 ± 3.400
0.678 ± 0.024,68.224 ± 3.378
0.677 ± 0.018,68.158 ± 3.529
0.651 ± 0.026,65.439 ± 4.304
0.659 ± 0.030,66.316 ± 3.939
0.657 ± 0.033,66.184 ± 3.640
0.648 ± 0.082,65.548 ± 8.921
0.652 ± 0.062,65.965 ± 6.685
0.654 ± 0.026,65.746 ± 3.221
0.675 ± 0.019,68.443 ± 4.173
0.682 ± 0.023,69.386 ± 4.359
0.672 ± 0.025,68.136 ± 4.376
0.673 ± 0.049,68.750 ± 5.322
0.661 ± 0.048,66.491 ± 5.140
0.649 ± 0.030,65.351 ± 4.139
