0.810 ± 0.108,81.892 ± 9.823
0.853 ± 0.044,83.784 ± 4.358
0.854 ± 0.039,84.865 ± 5.156
0.854 ± 0.048,84.865 ± 4.391
0.844 ± 0.050,84.595 ± 4.018
0.837 ± 0.052,82.703 ± 5.565
0.844 ± 0.051,84.054 ± 5.192
0.844 ± 0.049,83.243 ± 5.897
0.849 ± 0.054,82.973 ± 3.832
0.832 ± 0.060,84.324 ± 4.804
0.841 ± 0.062,84.324 ± 3.586
0.839 ± 0.053,80.541 ± 4.152
0.837 ± 0.038,80.811 ± 4.433
0.832 ± 0.053,81.351 ± 5.192
0.758 ± 0.063,73.514 ± 7.815
0.749 ± 0.055,73.514 ± 6.257
0.764 ± 0.055,73.784 ± 5.135
0.719 ± 0.099,71.622 ± 9.912
0.722 ± 0.101,70.541 ± 9.927
0.759 ± 0.069,74.324 ± 6.310
0.763 ± 0.070,74.595 ± 9.456
0.759 ± 0.067,74.595 ± 8.391
0.763 ± 0.081,73.784 ± 8.968
0.751 ± 0.080,74.054 ± 8.478
0.759 ± 0.072,75.676 ± 8.108
0.749 ± 0.082,74.054 ± 8.391
0.768 ± 0.074,74.054 ± 8.126
0.771 ± 0.077,75.405 ± 8.754
0.763 ± 0.063,75.135 ± 6.708
0.759 ± 0.070,74.865 ± 8.804
0.756 ± 0.064,74.054 ± 8.564
0.759 ± 0.071,74.595 ± 8.478
0.759 ± 0.068,75.676 ± 7.739
0.758 ± 0.072,75.946 ± 8.149
0.769 ± 0.078,74.595 ± 6.187
0.769 ± 0.067,76.216 ± 9.578
0.758 ± 0.062,73.514 ± 7.529
0.747 ± 0.068,73.514 ± 7.907
0.737 ± 0.109,72.432 ± 9.879
0.754 ± 0.098,74.324 ± 6.757
0.754 ± 0.080,74.054 ± 9.533
0.708 ± 0.123,69.730 ± 12.075
0.717 ± 0.102,71.081 ± 10.260
0.737 ± 0.110,71.892 ± 9.760
0.771 ± 0.075,75.135 ± 8.866
0.758 ± 0.084,74.865 ± 9.673
0.773 ± 0.069,74.865 ± 9.366
0.769 ± 0.086,75.946 ± 9.778
0.758 ± 0.083,74.595 ± 9.685
0.761 ± 0.085,74.595 ± 9.760
0.778 ± 0.073,74.595 ± 9.533
0.793 ± 0.051,77.297 ± 4.045
0.769 ± 0.075,74.865 ± 9.366
0.771 ± 0.060,75.946 ± 9.319
0.761 ± 0.081,75.405 ± 8.919
0.763 ± 0.086,75.405 ± 9.927
0.764 ± 0.066,74.054 ± 7.663
0.771 ± 0.044,74.595 ± 7.068
0.769 ± 0.065,75.405 ± 8.149
0.766 ± 0.073,75.135 ± 9.879
0.761 ± 0.071,74.865 ± 9.288
0.758 ± 0.074,75.676 ± 8.964
0.724 ± 0.104,71.351 ± 9.760
0.753 ± 0.079,72.973 ± 9.045
0.756 ± 0.073,73.514 ± 8.269
0.736 ± 0.103,71.892 ± 9.456
0.741 ± 0.067,72.973 ± 7.548
0.737 ± 0.076,72.162 ± 7.553
0.759 ± 0.084,75.135 ± 9.578
0.768 ± 0.074,74.324 ± 8.653
0.773 ± 0.072,74.054 ± 8.649
0.756 ± 0.080,74.595 ± 8.733
0.746 ± 0.083,73.784 ± 9.129
0.759 ± 0.056,73.784 ± 8.113
0.776 ± 0.072,75.946 ± 9.241
0.766 ± 0.073,74.595 ± 8.478
0.768 ± 0.069,73.784 ± 7.930
0.761 ± 0.079,75.135 ± 8.783
0.759 ± 0.069,74.324 ± 8.820
0.761 ± 0.073,74.595 ± 8.564
0.773 ± 0.059,74.865 ± 8.886
0.766 ± 0.071,74.054 ± 8.391
0.771 ± 0.063,74.865 ± 7.838
0.759 ± 0.069,75.405 ± 9.397
0.768 ± 0.073,74.865 ± 8.968
0.768 ± 0.075,75.676 ± 10.040
0.829 ± 0.052,82.432 ± 5.828
0.825 ± 0.056,82.162 ± 6.419
0.788 ± 0.079,77.297 ± 9.685
0.783 ± 0.107,78.378 ± 7.739
0.797 ± 0.064,78.649 ± 8.238
0.778 ± 0.107,77.568 ± 8.113
0.832 ± 0.055,81.892 ± 6.286
0.832 ± 0.063,81.351 ± 6.559
0.822 ± 0.067,80.541 ± 6.922
0.812 ± 0.074,80.811 ± 8.326
0.810 ± 0.065,78.919 ± 8.090
0.805 ± 0.059,78.649 ± 6.778
0.844 ± 0.061,82.432 ± 4.872
0.831 ± 0.058,81.351 ± 4.751
0.825 ± 0.055,80.811 ± 5.331
0.825 ± 0.068,81.081 ± 6.620
0.820 ± 0.066,79.730 ± 7.668
0.810 ± 0.062,78.919 ± 6.373
0.829 ± 0.053,82.703 ± 5.013
0.831 ± 0.051,81.892 ± 4.842
0.831 ± 0.064,82.432 ± 5.164
0.817 ± 0.061,81.622 ± 6.922
0.820 ± 0.061,80.000 ± 6.531
0.810 ± 0.055,81.081 ± 6.837
0.759 ± 0.119,75.676 ± 11.781
0.754 ± 0.110,76.757 ± 11.416
0.773 ± 0.113,78.108 ± 9.397
0.776 ± 0.106,77.027 ± 8.482
0.759 ± 0.126,75.676 ± 12.207
0.797 ± 0.107,79.459 ± 8.126
0.817 ± 0.075,80.270 ± 8.886
0.817 ± 0.061,81.351 ± 6.216
0.837 ± 0.051,81.622 ± 5.897
0.841 ± 0.040,83.514 ± 4.433
0.831 ± 0.036,82.162 ± 4.712
0.817 ± 0.037,81.622 ± 4.490
0.841 ± 0.063,82.162 ± 5.822
0.832 ± 0.059,83.514 ± 5.977
0.827 ± 0.047,82.162 ± 5.565
0.834 ± 0.042,81.622 ± 5.897
0.825 ± 0.044,80.811 ± 5.049
0.819 ± 0.053,80.811 ± 5.331
0.825 ± 0.062,81.081 ± 5.921
0.832 ± 0.050,81.351 ± 6.098
0.827 ± 0.056,81.892 ± 5.927
0.831 ± 0.048,82.162 ± 4.865
0.817 ± 0.060,81.081 ± 6.163
0.814 ± 0.064,80.270 ± 7.744
0.822 ± 0.056,81.622 ± 6.708
0.768 ± 0.106,78.108 ± 9.778
0.775 ± 0.126,75.676 ± 11.656
0.766 ± 0.131,77.027 ± 12.341
0.820 ± 0.052,79.730 ± 5.828
0.808 ± 0.057,79.459 ± 4.712
0.829 ± 0.065,81.622 ± 6.486
0.829 ± 0.059,79.459 ± 6.068
0.814 ± 0.069,80.270 ± 7.744
0.814 ± 0.069,79.189 ± 9.129
0.819 ± 0.056,79.189 ± 5.927
0.793 ± 0.067,78.378 ± 8.374
0.832 ± 0.059,81.351 ± 5.977
0.831 ± 0.052,82.162 ± 5.156
0.815 ± 0.057,81.622 ± 3.972
0.820 ± 0.067,81.081 ± 7.048
0.822 ± 0.054,80.000 ± 6.964
0.814 ± 0.062,79.189 ± 6.949
0.834 ± 0.053,82.432 ± 4.720
0.831 ± 0.049,81.622 ± 5.241
0.825 ± 0.056,81.351 ± 4.265
0.820 ± 0.068,81.081 ± 6.943
0.815 ± 0.053,79.459 ± 5.946
0.808 ± 0.056,79.730 ± 6.310
0.800 ± 0.109,80.811 ± 9.475
0.805 ± 0.114,81.081 ± 8.461
0.832 ± 0.081,84.865 ± 6.304
0.797 ± 0.117,80.270 ± 9.823
0.790 ± 0.117,80.270 ± 10.331
0.786 ± 0.112,80.000 ± 8.816
0.834 ± 0.106,81.622 ± 8.269
0.864 ± 0.045,83.514 ± 5.192
0.836 ± 0.080,83.243 ± 6.816
0.827 ± 0.113,82.432 ± 6.970
0.844 ± 0.040,82.703 ± 4.865
0.817 ± 0.119,81.892 ± 7.456
0.869 ± 0.048,83.243 ± 3.784
0.859 ± 0.049,84.054 ± 4.265
0.853 ± 0.052,85.946 ± 4.954
0.849 ± 0.043,83.243 ± 4.650
0.846 ± 0.045,82.432 ± 3.676
0.841 ± 0.046,82.432 ± 5.439
0.847 ± 0.049,84.865 ± 4.222
0.846 ± 0.063,83.784 ± 4.984
0.846 ± 0.056,84.054 ± 3.514
0.839 ± 0.052,81.351 ± 4.433
0.834 ± 0.049,81.892 ± 4.196
0.832 ± 0.057,81.622 ± 4.954
0.785 ± 0.115,79.730 ± 9.912
0.802 ± 0.113,81.351 ± 9.552
0.800 ± 0.107,81.081 ± 10.468
0.780 ± 0.116,78.108 ± 12.587
0.792 ± 0.114,80.270 ± 8.968
0.763 ± 0.111,74.865 ± 12.029
0.839 ± 0.086,82.432 ± 8.040
0.819 ± 0.094,83.514 ± 7.094
0.836 ± 0.090,84.595 ± 6.843
0.808 ± 0.120,81.081 ± 8.374
0.793 ± 0.105,79.730 ± 8.308
0.807 ± 0.116,81.622 ± 8.783
0.868 ± 0.040,83.784 ± 4.835
0.842 ± 0.055,84.595 ± 4.842
0.849 ± 0.044,85.946 ± 3.152
0.839 ± 0.050,82.432 ± 6.970
0.846 ± 0.055,83.514 ± 6.216
0.842 ± 0.050,83.243 ± 6.257
0.863 ± 0.048,84.595 ± 5.803
0.853 ± 0.043,85.405 ± 5.013
0.853 ± 0.045,84.865 ± 3.860
0.839 ± 0.051,81.892 ± 5.927
0.844 ± 0.051,82.432 ± 5.701
