0.854 ± 0.045,85.686 ± 2.780
0.854 ± 0.045,86.863 ± 2.488
0.846 ± 0.045,85.490 ± 3.529
0.844 ± 0.044,85.882 ± 3.802
0.861 ± 0.044,86.471 ± 3.216
0.860 ± 0.040,86.078 ± 3.965
0.854 ± 0.047,85.882 ± 3.902
0.840 ± 0.045,85.490 ± 4.314
0.844 ± 0.048,86.078 ± 3.094
0.838 ± 0.048,85.294 ± 3.847
0.856 ± 0.047,86.863 ± 4.210
0.854 ± 0.041,85.686 ± 4.023
0.848 ± 0.045,85.294 ± 3.424
0.854 ± 0.050,86.471 ± 2.967
0.845 ± 0.050,85.490 ± 4.038
0.836 ± 0.049,85.294 ± 3.424
0.863 ± 0.046,85.882 ± 3.999
0.855 ± 0.045,85.686 ± 3.287
0.854 ± 0.043,86.275 ± 3.162
0.849 ± 0.049,86.471 ± 4.246
0.851 ± 0.043,86.078 ± 3.557
0.838 ± 0.047,84.706 ± 2.745
0.861 ± 0.039,85.882 ± 3.999
0.846 ± 0.039,86.471 ± 3.965
0.849 ± 0.049,85.490 ± 2.935
0.850 ± 0.049,86.078 ± 3.094
0.855 ± 0.047,85.686 ± 3.402
0.841 ± 0.047,85.686 ± 3.402
0.861 ± 0.040,86.078 ± 4.246
0.849 ± 0.044,86.667 ± 3.700
0.848 ± 0.041,86.667 ± 3.012
0.851 ± 0.049,86.275 ± 3.396
0.839 ± 0.051,86.078 ± 3.333
0.839 ± 0.053,84.902 ± 3.513
0.863 ± 0.033,86.078 ± 4.155
0.846 ± 0.043,86.471 ± 3.663
0.849 ± 0.042,84.706 ± 4.094
0.857 ± 0.042,86.863 ± 3.287
0.849 ± 0.043,86.471 ± 3.767
0.839 ± 0.048,85.098 ± 2.935
