0.844 ± 0.047,84.865 ± 5.156
0.844 ± 0.046,84.054 ± 5.598
0.849 ± 0.056,84.054 ± 6.216
0.851 ± 0.058,84.054 ± 4.090
0.846 ± 0.065,85.135 ± 5.952
0.844 ± 0.046,85.405 ± 6.304
0.846 ± 0.057,84.865 ± 6.304
0.846 ± 0.054,85.676 ± 6.169
0.859 ± 0.050,86.216 ± 6.216
0.864 ± 0.054,86.486 ± 5.797
0.859 ± 0.046,85.405 ± 4.712
0.853 ± 0.053,85.405 ± 5.822
0.841 ± 0.050,85.135 ± 5.439
0.851 ± 0.058,83.784 ± 5.269
0.856 ± 0.055,85.676 ± 4.842
0.859 ± 0.056,86.486 ± 5.921
0.854 ± 0.053,85.405 ± 7.272
0.846 ± 0.058,84.865 ± 6.419
0.836 ± 0.051,85.405 ± 4.865
0.842 ± 0.052,85.135 ± 5.572
0.871 ± 0.044,85.135 ± 6.310
0.853 ± 0.049,86.216 ± 5.853
0.858 ± 0.052,85.946 ± 6.373
0.851 ± 0.053,84.324 ± 5.512
0.849 ± 0.050,85.676 ± 5.275
0.846 ± 0.056,84.595 ± 6.286
0.859 ± 0.047,86.486 ± 6.730
0.859 ± 0.063,84.595 ± 5.412
0.858 ± 0.055,84.865 ± 6.068
0.856 ± 0.050,84.865 ± 5.565
0.841 ± 0.055,86.216 ± 6.559
0.834 ± 0.057,83.784 ± 5.405
0.876 ± 0.044,85.405 ± 5.946
0.859 ± 0.056,85.405 ± 5.296
0.854 ± 0.065,84.595 ± 6.049
0.847 ± 0.055,84.865 ± 6.419
0.844 ± 0.052,84.865 ± 5.432
0.849 ± 0.056,85.946 ± 6.598
0.858 ± 0.053,85.135 ± 6.648
0.868 ± 0.060,85.946 ± 6.139
0.854 ± 0.053,84.865 ± 6.531
0.849 ± 0.049,84.324 ± 5.643
0.849 ± 0.047,85.676 ± 4.366
0.844 ± 0.056,85.135 ± 5.572
0.868 ± 0.060,86.216 ± 6.216
0.866 ± 0.057,85.405 ± 5.013
0.853 ± 0.056,85.676 ± 6.286
0.864 ± 0.053,85.946 ± 6.373
0.856 ± 0.049,86.486 ± 5.269
0.832 ± 0.057,84.054 ± 5.331
0.847 ± 0.061,84.595 ± 4.842
0.859 ± 0.058,84.595 ± 6.286
0.844 ± 0.061,84.324 ± 7.027
0.849 ± 0.052,85.946 ± 4.804
0.847 ± 0.048,85.135 ± 5.020
0.847 ± 0.058,83.514 ± 5.049
0.769 ± 0.081,74.595 ± 5.013
0.778 ± 0.081,74.595 ± 5.822
0.780 ± 0.075,74.865 ± 5.135
0.771 ± 0.081,74.595 ± 5.946
0.769 ± 0.081,74.865 ± 5.135
0.768 ± 0.078,74.865 ± 5.135
0.771 ± 0.070,74.595 ± 5.695
0.778 ± 0.078,73.784 ± 5.412
0.783 ± 0.071,74.595 ± 5.432
0.773 ± 0.080,73.784 ± 5.135
0.776 ± 0.078,74.054 ± 5.296
0.775 ± 0.085,74.595 ± 4.712
0.775 ± 0.070,73.784 ± 5.135
0.771 ± 0.070,74.324 ± 5.952
0.778 ± 0.074,74.054 ± 5.695
0.775 ± 0.074,73.784 ± 5.545
0.766 ± 0.083,74.324 ± 5.303
0.771 ± 0.083,73.784 ± 5.545
0.764 ± 0.071,73.514 ± 5.241
0.776 ± 0.067,74.595 ± 5.822
0.778 ± 0.067,74.595 ± 5.695
0.769 ± 0.076,73.784 ± 5.412
0.775 ± 0.075,74.054 ± 5.565
0.773 ± 0.078,74.054 ± 5.296
0.797 ± 0.057,77.027 ± 5.572
0.798 ± 0.062,75.946 ± 5.331
0.790 ± 0.072,76.757 ± 5.695
0.785 ± 0.071,75.676 ± 4.984
0.788 ± 0.069,75.405 ± 4.751
0.776 ± 0.083,74.865 ± 4.689
0.793 ± 0.068,75.946 ± 5.192
0.795 ± 0.065,76.486 ± 5.545
0.797 ± 0.070,75.946 ± 4.902
0.793 ± 0.072,75.676 ± 4.984
0.792 ± 0.075,76.216 ± 5.378
0.781 ± 0.079,74.865 ± 5.135
0.790 ± 0.056,76.216 ± 5.099
0.795 ± 0.060,76.216 ± 4.954
0.793 ± 0.069,76.757 ± 5.013
0.793 ± 0.059,76.757 ± 5.296
0.781 ± 0.075,75.676 ± 5.128
0.781 ± 0.085,76.486 ± 4.842
0.792 ± 0.063,76.486 ± 4.842
0.792 ± 0.063,75.946 ± 4.751
0.797 ± 0.065,75.946 ± 4.751
0.792 ± 0.067,76.486 ± 4.842
0.797 ± 0.062,75.946 ± 4.902
0.795 ± 0.062,75.405 ± 5.192
0.773 ± 0.074,74.595 ± 5.013
0.775 ± 0.072,74.595 ± 5.432
0.778 ± 0.080,75.135 ± 5.771
0.776 ± 0.080,74.595 ± 5.695
0.769 ± 0.084,74.595 ± 5.296
0.773 ± 0.083,75.135 ± 4.954
0.778 ± 0.073,74.324 ± 5.303
0.773 ± 0.086,73.784 ± 5.545
0.775 ± 0.077,74.324 ± 5.572
0.771 ± 0.081,74.595 ± 5.432
0.775 ± 0.081,74.054 ± 4.865
0.769 ± 0.084,74.324 ± 4.563
0.773 ± 0.071,75.135 ± 4.152
