0.851 ± 0.073,84.054 ± 8.326
0.832 ± 0.075,83.243 ± 8.866
0.841 ± 0.064,85.135 ± 6.193
0.819 ± 0.067,80.270 ± 11.015
0.817 ± 0.074,80.270 ± 9.444
0.817 ± 0.064,80.811 ± 7.687
0.827 ± 0.072,82.432 ± 8.984
0.827 ± 0.081,82.703 ± 7.944
0.819 ± 0.081,80.270 ± 7.156
0.815 ± 0.082,79.189 ± 8.804
0.815 ± 0.069,80.000 ± 7.470
0.808 ± 0.075,78.919 ± 7.232
0.812 ± 0.075,81.892 ± 8.291
0.807 ± 0.079,81.622 ± 7.625
0.808 ± 0.086,79.730 ± 8.482
0.797 ± 0.063,78.378 ± 9.967
0.805 ± 0.080,79.189 ± 7.053
0.795 ± 0.068,78.378 ± 8.286
0.820 ± 0.058,82.703 ± 10.481
0.797 ± 0.062,78.378 ± 11.078
0.775 ± 0.085,76.486 ± 11.212
0.800 ± 0.081,79.730 ± 11.858
0.759 ± 0.083,76.216 ± 11.454
0.803 ± 0.067,79.730 ± 9.145
0.836 ± 0.072,82.432 ± 8.820
0.839 ± 0.082,83.243 ± 7.999
0.839 ± 0.064,82.162 ± 6.531
0.841 ± 0.073,83.243 ± 9.805
0.829 ± 0.077,81.622 ± 8.615
0.822 ± 0.064,82.703 ± 8.036
0.820 ± 0.072,82.703 ± 8.304
0.812 ± 0.077,80.811 ± 7.297
0.802 ± 0.085,81.622 ± 7.815
0.788 ± 0.078,78.649 ± 7.687
0.792 ± 0.070,77.297 ± 6.419
0.783 ± 0.056,77.297 ± 7.470
0.781 ± 0.065,78.919 ± 7.027
0.793 ± 0.081,79.459 ± 7.852
0.792 ± 0.069,77.838 ± 7.130
0.792 ± 0.068,77.568 ± 8.886
0.785 ± 0.071,78.108 ± 7.875
0.771 ± 0.065,77.027 ± 6.970
0.741 ± 0.083,72.162 ± 7.456
0.725 ± 0.074,70.541 ± 7.592
0.732 ± 0.073,71.351 ± 7.470
0.742 ± 0.071,71.081 ± 8.291
0.753 ± 0.076,72.432 ± 7.907
0.744 ± 0.078,70.541 ± 7.592
0.725 ± 0.085,71.351 ± 7.663
0.722 ± 0.080,70.541 ± 7.197
0.725 ± 0.078,71.351 ± 6.859
0.747 ± 0.080,71.892 ± 8.036
0.734 ± 0.075,70.270 ± 7.451
0.734 ± 0.075,70.000 ± 7.094
0.705 ± 0.076,68.378 ± 7.053
0.703 ± 0.064,68.649 ± 7.272
0.719 ± 0.077,69.459 ± 6.401
0.712 ± 0.077,69.459 ± 8.022
0.708 ± 0.075,68.919 ± 7.763
0.720 ± 0.072,69.730 ± 7.907
0.705 ± 0.076,68.108 ± 6.486
0.714 ± 0.072,69.459 ± 6.286
0.717 ± 0.074,69.730 ± 5.897
0.702 ± 0.082,68.649 ± 7.068
0.702 ± 0.073,69.189 ± 7.171
0.702 ± 0.069,69.730 ± 6.922
0.764 ± 0.063,74.865 ± 6.515
0.783 ± 0.088,77.027 ± 7.763
0.775 ± 0.077,74.595 ± 8.216
0.751 ± 0.072,72.162 ± 8.113
0.761 ± 0.090,73.784 ± 8.113
0.768 ± 0.082,73.243 ± 6.778
0.778 ± 0.057,76.216 ± 5.643
0.785 ± 0.069,75.676 ± 8.108
0.781 ± 0.065,75.135 ± 7.332
0.783 ± 0.069,74.595 ± 7.272
0.781 ± 0.076,74.595 ± 7.272
0.776 ± 0.070,72.973 ± 6.730
0.795 ± 0.056,77.297 ± 5.946
0.785 ± 0.073,75.946 ± 8.670
0.776 ± 0.058,74.595 ± 6.419
0.795 ± 0.072,75.676 ± 6.730
0.783 ± 0.073,75.135 ± 7.332
0.764 ± 0.062,73.243 ± 6.559
0.759 ± 0.087,72.703 ± 8.326
0.764 ± 0.088,72.973 ± 8.461
0.746 ± 0.073,71.351 ± 7.758
0.763 ± 0.094,74.865 ± 7.649
0.747 ± 0.092,72.432 ± 7.720
0.744 ± 0.080,72.973 ± 7.451
0.746 ± 0.078,72.432 ± 8.444
0.742 ± 0.079,72.162 ± 7.649
0.734 ± 0.064,70.000 ± 6.991
0.741 ± 0.077,70.811 ± 7.529
0.727 ± 0.072,70.270 ± 8.198
0.744 ± 0.070,70.541 ± 7.297
0.746 ± 0.083,71.351 ± 8.649
0.724 ± 0.083,70.541 ± 7.094
0.720 ± 0.073,69.459 ± 6.735
0.766 ± 0.089,72.973 ± 7.548
0.746 ± 0.086,71.622 ± 8.737
0.727 ± 0.063,70.000 ± 7.094
0.722 ± 0.082,69.730 ± 10.026
0.707 ± 0.074,68.108 ± 7.332
0.724 ± 0.076,70.000 ± 7.094
0.739 ± 0.095,71.892 ± 8.391
0.712 ± 0.077,69.459 ± 7.744
0.720 ± 0.080,70.270 ± 7.833
0.720 ± 0.078,70.000 ± 6.991
0.702 ± 0.070,69.459 ± 7.156
0.707 ± 0.082,69.730 ± 7.232
0.720 ± 0.070,69.459 ± 7.553
0.712 ± 0.075,68.108 ± 7.815
0.705 ± 0.067,69.459 ± 6.949
0.842 ± 0.069,81.351 ± 6.216
0.824 ± 0.060,80.811 ± 7.197
0.808 ± 0.064,80.541 ± 7.907
0.815 ± 0.084,80.000 ± 8.304
0.824 ± 0.064,78.378 ± 7.739
0.805 ± 0.064,77.838 ± 8.180
0.814 ± 0.072,81.622 ± 8.783
0.803 ± 0.072,80.000 ± 7.068
0.783 ± 0.064,77.838 ± 6.486
0.820 ± 0.072,77.568 ± 10.116
0.795 ± 0.068,77.027 ± 6.864
0.790 ± 0.064,77.838 ± 8.180
0.786 ± 0.060,79.189 ± 9.209
0.795 ± 0.077,79.730 ± 7.572
0.792 ± 0.075,78.649 ± 7.592
0.790 ± 0.073,76.486 ± 8.720
0.788 ± 0.073,77.297 ± 7.852
0.778 ± 0.060,76.216 ± 7.815
0.776 ± 0.075,77.027 ± 8.482
0.778 ± 0.081,77.297 ± 6.304
0.773 ± 0.067,77.568 ± 6.626
0.771 ± 0.064,75.405 ± 7.297
0.764 ± 0.061,75.135 ± 8.615
0.764 ± 0.061,75.676 ± 8.547
0.797 ± 0.054,77.838 ± 9.109
0.815 ± 0.064,79.189 ± 9.129
0.842 ± 0.050,82.973 ± 6.401
0.788 ± 0.060,76.486 ± 9.444
0.824 ± 0.066,79.189 ± 8.022
0.829 ± 0.065,81.081 ± 5.405
0.842 ± 0.058,81.351 ± 7.495
0.832 ± 0.065,82.162 ± 6.419
0.834 ± 0.059,81.081 ± 5.921
0.810 ± 0.068,78.919 ± 9.189
0.834 ± 0.065,84.054 ± 4.902
0.810 ± 0.066,78.108 ± 8.413
0.832 ± 0.059,82.162 ± 6.068
0.834 ± 0.056,83.784 ± 7.352
0.814 ± 0.067,79.730 ± 8.131
0.836 ± 0.053,85.135 ± 5.572
0.839 ± 0.060,83.514 ± 5.049
0.814 ± 0.059,79.730 ± 6.537
0.815 ± 0.070,80.541 ± 6.257
0.836 ± 0.064,82.973 ± 7.456
0.815 ± 0.073,80.541 ± 5.099
0.822 ± 0.062,80.811 ± 6.559
0.819 ± 0.070,82.162 ± 7.272
0.810 ± 0.063,78.378 ± 6.281
0.810 ± 0.053,79.730 ± 8.653
