0.718 ± 0.011,71.891 ± 1.791
0.724 ± 0.010,72.173 ± 2.195
0.764 ± 0.016,76.076 ± 2.570
0.765 ± 0.014,76.740 ± 2.391
0.765 ± 0.013,76.157 ± 2.113
0.741 ± 0.017,74.205 ± 2.622
0.743 ± 0.013,74.487 ± 2.605
0.743 ± 0.016,74.205 ± 2.441
0.721 ± 0.011,71.791 ± 1.815
0.724 ± 0.010,72.072 ± 1.555
0.731 ± 0.012,73.038 ± 1.729
0.709 ± 0.009,71.066 ± 1.659
0.711 ± 0.010,71.308 ± 1.937
0.712 ± 0.011,71.670 ± 1.938
0.729 ± 0.010,72.757 ± 2.381
0.733 ± 0.012,73.078 ± 2.249
0.736 ± 0.015,73.702 ± 1.986
0.709 ± 0.009,71.167 ± 2.116
0.714 ± 0.010,71.590 ± 1.668
0.714 ± 0.011,71.932 ± 1.703
